"Block_Nr","Block_Name","Task_Nr","Task_Name","Trial_Nr","Trial_Id","age_input","area_01","area_02","area_03","area_04","area_05","area_06","area_07","area_08","area_09","area_10_","area_11_","area_12_","area_13_","area_14_","aud_tend_unix","aud_ts","aud_ts_unix","av_cond","condi_1","condi_2","condi_3","condi3","Condition_Id","consent","consent_copy","copy_of_condi","copy_of_condi2","correspondence_","country_current","country_home","enjoy_","Frame Time ","frame_end_unix","frame_rt","gender","interestingness_","Modality_Preference","mood congruency_","move_","Name Audio ","Name Audio _copy_4b49","Name Audio _copy_93a7","Name Audio _copy_bd6f","Name Audio _copy_c958","Name Audio _copy_c96c","Normal Vision ","Normal Vision/Hearing ","Ollen","overall_enjoy","prev_exposure","realWorldLikelihood","completed","crowdsourcing_code","crowdsourcing_subj_id","displayedLanguage","end_time","exp_subject_id","group_name","pixelDensityPerMM","rec_session_id","Screen_Height","Screen_Width","session_name","session_nr","start_time","subj_counter_global","subj_counter_per_group","subject_code","time_delay_offset","time_measure_std","unlocked"
2,"Stimulus_set1",1,"task_1","16","2","","","","","","","","","","","","","","","","","","","","A","","","","1","","","","","0","","","37","26493","","","","55","","10","14","","","","","","","","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
1,"Introduction",2,"Instructions","1","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
1,"Introduction",1,"Overview_&_Consent","1","1","","","","","","","","","","","","","","","","","","","","","","","","1","true","false","","","","","","","","","","","","","","","","","","","","","","false","","","","","yes","","","","2022-02-17T16:26:06.000Z",374861,"group_1","",419140,"1440","2560","session_1",1,"2022-02-17T16:11:24.000Z","","","","not measured","",true
3,"End ",4,"thank_you_&_end","1","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","yes","","","","2022-02-17T16:28:44.000Z",374860,"group_2","",419139,"768","1366","session_2",1,"2022-02-17T16:11:23.000Z","","","","not measured","",true
3,"End ",3,"end_Qs","1","1","44","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","United Kingdom","United Kingdom","","","","","1","","option_1","","","","","","","","","","","option_1","70","option_1","28","yes","","","","2022-02-17T16:28:44.000Z",374860,"group_2","",419139,"768","1366","session_2",1,"2022-02-17T16:11:23.000Z","","","","not measured","",true
3,"End ",2,"AReA","1","1","","3","4","4","2","1","3","2","1","3","2","3","3","2","3","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","yes","","","","2022-02-17T16:28:44.000Z",374860,"group_2","",419139,"768","1366","session_2",1,"2022-02-17T16:11:23.000Z","","","","not measured","",true
3,"End ",1,"end_instructions","1","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","yes","","","","2022-02-17T16:28:44.000Z",374860,"group_2","",419139,"768","1366","session_2",1,"2022-02-17T16:11:23.000Z","","","","not measured","",true
2,"Stimulus_set2",1,"task_2","1","8","","","","","","","","","","","","","","","","","","","","","V","","","2","","","","","0","","","30","14099","","","","15","","20","5","","","","","","","","","","","","","yes","","","","2022-02-17T16:28:44.000Z",374860,"group_2","",419139,"768","1366","session_2",1,"2022-02-17T16:11:23.000Z","","","","not measured","",true
2,"Stimulus_set2",1,"task_2","2","11","","","","","","","","","","","","","","","","","","","","","AV_I","","","3","","","","","10","","","10","25692","","","","10","","5","5","","","","","","","","","","","","","yes","","","","2022-02-17T16:28:44.000Z",374860,"group_2","",419139,"768","1366","session_2",1,"2022-02-17T16:11:23.000Z","","","","not measured","",true
2,"Stimulus_set2",1,"task_2","3","3","","","","","","","","","","","","","","","","","","","","","A","","","1","","","","","0","","","30","28195","","","","40","","30","15","","","","","","","","","","","","","yes","","","","2022-02-17T16:28:44.000Z",374860,"group_2","",419139,"768","1366","session_2",1,"2022-02-17T16:11:23.000Z","","","","not measured","",true
2,"Stimulus_set2",1,"task_2","4","10","","","","","","","","","","","","","","","","","","","","","AV_I","","","3","","","","","80","","","70","29459","","","","70","","60","50","","","","","","","","","","","","","yes","","","","2022-02-17T16:28:44.000Z",374860,"group_2","",419139,"768","1366","session_2",1,"2022-02-17T16:11:23.000Z","","","","not measured","",true
2,"Stimulus_set2",1,"task_2","5","1","","","","","","","","","","","","","","","","","","","","","A","","","1","","","","","0","","","50","25245","","","","75","","40","20","","","","","","","","","","","","","yes","","","","2022-02-17T16:28:44.000Z",374860,"group_2","",419139,"768","1366","session_2",1,"2022-02-17T16:11:23.000Z","","","","not measured","",true
2,"Stimulus_set2",1,"task_2","6","14","","","","","","","","","","","","","","","","","","","","","AV_R","","","4","","","","","70","","","27","34005","","","","41","","16","13","","","","","","","","","","","","","yes","","","","2022-02-17T16:28:44.000Z",374860,"group_2","",419139,"768","1366","session_2",1,"2022-02-17T16:11:23.000Z","","","","not measured","",true
2,"Stimulus_set2",1,"task_2","7","9","","","","","","","","","","","","","","","","","","","","","AV_I","","","3","","","","","3","","","3","15815","","","","20","","9","7","","","","","","","","","","","","","yes","","","","2022-02-17T16:28:44.000Z",374860,"group_2","",419139,"768","1366","session_2",1,"2022-02-17T16:11:23.000Z","","","","not measured","",true
2,"Stimulus_set2",1,"task_2","8","4","","","","","","","","","","","","","","","","","","","","","A","","","1","","","","","0","","","82","18646","","","","84","","5","61","","","","","","","","","","","","","yes","","","","2022-02-17T16:28:44.000Z",374860,"group_2","",419139,"768","1366","session_2",1,"2022-02-17T16:11:23.000Z","","","","not measured","",true
2,"Stimulus_set2",1,"task_2","9","12","","","","","","","","","","","","","","","","","","","","","AV_I","","","3","","","","","43","","","28","14787","","","","34","","11","14","","","","","","","","","","","","","yes","","","","2022-02-17T16:28:44.000Z",374860,"group_2","",419139,"768","1366","session_2",1,"2022-02-17T16:11:23.000Z","","","","not measured","",true
2,"Stimulus_set2",1,"task_2","10","5","","","","","","","","","","","","","","","","","","","","","V","","","2","","","","","0","","","84","9881","","","","84","","39","67","","","","","","","","","","","","","yes","","","","2022-02-17T16:28:44.000Z",374860,"group_2","",419139,"768","1366","session_2",1,"2022-02-17T16:11:23.000Z","","","","not measured","",true
